PI full name,PI first name,PI last name,Institution,City,Country,Google Scholar profile
Christine Allen,Christine,Allen,University of Toronto,Toronto,Canada,https://scholar.google.com/citations?user=ZJvQC4kAAAAJ&hl=en
Cheryl Arrowsmith,Cheryl,Arrowsmith,University Health Network,Toronto,Canada,https://scholar.google.com/citations?user=ygu2VxQAAAAJ&hl=en
Alan Aspuru-Guzik,Alan,Aspuru-Guzik,University of Toronto,Toronto,Canada,https://scholar.google.ca/citations?user=Ag_6KEgAAAAJ&hl=en
Robert Batey,Robert,Batey,University of Toronto,Toronto,Canada,https://scholar.google.com/citations?user=NkQTwSMAAAAJ&hl=en
Aimy Bazylak,Aimy,Bazylak,University of Toronto,Toronto,Canada,https://scholar.google.com/citations?user=dza_08oAAAAJ&hl=en
Curtis P. Berlinguette,Curtis,Berlinguette,University of British Columbia,Vancouver,Canada,https://scholar.google.ca/citations?user=sfNjDUkAAAAJ&hl=en
Robert Black,Robert,Black,National Research Council Canada,Mississauga,Canada,https://scholar.google.ca/citations?user=lc4Lw58AAAAJ&hl=en
Christoph Brabec,Christoph,Brabec,FAU Erlangen-Nurnberg,Erlangen,Germany,https://scholar.google.de/citations?user=NCsNHesAAAAJ&hl=de
Keith A. Brown,Keith,Brown,Boston University,Boston,United States,https://scholar.google.ca/citations?user=LivPNAUAAAAJ&hl=en
Tonio Buonassisi,Tonio,Buonassisi,MIT,Cambridge,United States,https://scholar.google.com/citations?user=JlrEuLkAAAAJ&hl=en
Marty Burke,Marty,Burke,University of Illinois Urbana-Champaign,Champaign,United States,https://scholar.google.com/citations?user=u4hmNXAAAAAJ&hl=en
John Chodera,John,Chodera,Memorial Sloan Kettering Cancer Center,Manhattan,United States,https://scholar.google.com/citations?user=nnEg7_8AAAAJ&hl=en
Connor W. Coley,Connor,Coley,MIT,Cambridge,United States,https://scholar.google.com/citations?user=l015S80AAAAJ&hl=en
Andy Cooper,Andy,Cooper,Liverpool University,Liverpool,England,https://scholar.google.com/citations?user=-A4wqWEAAAAJ&hl=en
Leroy Cronin,Leroy,Cronin,University of Glasgow,Glasgow,Scotland,https://scholar.google.com/citations?user=orJLEmUAAAAJ&hl=en
Ali Dolatabadi,Ali,Dolatabadi,University of Toronto,Toronto,Canada,https://scholar.google.ca/citations?user=WjIVsuwAAAAJ&hl=en
Animesh Garg,Animesh,Garg,Georgia Institute of Technology,Atlanta,United States,https://scholar.google.com/citations?user=zp8V7ZMAAAAJ&hl=en
Avi Goldfarb,Avi,Goldfarb,University of Toronto,Toronto,Canada,https://scholar.google.com/citations?user=ksJFH8sAAAAJ&hl=en
Rafael Gomez-Bombarelli,Rafael ,Gomez-Bombarelli,MIT,Cambridge,United States,https://scholar.google.com/citations?user=jJ5JkCQAAAAJ&hl=es
Frank Gu,Frank,Gu,University of Toronto,Toronto,Canada,https://scholar.google.ca/citations?user=nZYyToUAAAAJ&hl=en
Johannes Hachmann,Johannes,Hachmann,University at Buffalo,Buffalo,United States,https://scholar.google.com/citations?user=yx7d-BQAAAAJ&hl=en
Jason Hattrick-Simpers,Jason,Hattrick-Simpers,University of Toronto,Toronto,Canada,https://scholar.google.com/citations?user=P3ce5ZwAAAAJ&hl=en
Jason Hein,Jason,Hein,University of British Columbia,Vancouver,Canada,https://scholar.google.ca/citations?user=4OBGbW0AAAAJ&hl=en
Olexandr Isayev,Olexandr,Isayev,Carnegie Mellon University,Pittsburgh,United States,https://scholar.google.com/citations?user=7ICaR4EAAAAJ&hl=en
Yousung Jung,Yousung,Jung,Korea Advanced Institute of Science and Technology,Daedeok Innopolis,South Korea,https://scholar.google.com/citations?user=y8D-JCAAAAAJ&hl=en
Mark Kozdras,Mark ,Kozdras,CanmetMATERIALS,Hamilton,Canada,
Eugenia Kumacheva,Eugenia,Kumacheva,University of Toronto,Toronto,Canada,https://scholar.google.ca/citations?user=Z9qoQtoAAAAJ&hl=en
Bowen Li,Bowen,Li,University of Toronto,Toronto,Canada,https://scholar.google.com/citations?user=xuk_W10AAAAJ&hl=en
Anatole von Lilienfeld,Anatole,von Lilienfeld,University of Toronto,Toronto,Canada,https://scholar.google.com/citations?user=LFFk3rkAAAAJ&hl=en
Chris Maddison,Chris,Maddison,University of Toronto,Toronto,Canada,https://scholar.google.com/citations?user=WjCG3owAAAAJ&hl=en
Benji Maruyama,Benji,Maruyama,Air Force Research Laboratory,Dayton,United States,https://scholar.google.com/citations?user=ypv13kYAAAAJ&hl=en
Mohamad Moosavi,Mohamad,Moosavi,University of Toronto,Toronto,Canada,https://scholar.google.ch/citations?user=AS9Iz-kAAAAJ&hl=en
Michelle Murphy,Michelle,Murphy,University of Toronto,Toronto,Canada,
Claudiane Ouellet-Plamondon,Claudiane,Ouellet-Plamondon,Ecole de Technologie Superieure,Montreal,Canada,https://scholar.google.ca/citations?user=vPosGi0AAAAJ&hl=fr
Lilo D. Pozzo,Lilo,Pozzo,University of Washington,Seattle,United States,https://scholar.google.com/citations?user=XiHAbCsAAAAJ&hl=en
Milica Radisic,Milica,Radisic,University of Toronto,Toronto,Canada,https://scholar.google.ca/citations?user=zd3JZacAAAAJ&hl=en
Tiago Rodrigues,Tiago,Rodrigues,University of Lisbon,Lisbon,Portugal,https://scholar.google.com/citations?user=lX3oVTgAAAAJ&hl=en
Sophie Rousseaux,Sophie,Rousseaux,University of Toronto,Toronto,Canada,https://scholar.google.com/citations?user=TW8zZzAAAAAJ&hl=en
Joshua Schrier,Joshua,Schrier,Fordham University,New York,United States,https://scholar.google.com/citations?user=zJC_7roAAAAJ&hl=en
Philippe Schwaller,Philippe,Schwaller,Ecole Polytechnique Federale de Lausanne,Lausanne,Switzerland,https://scholar.google.com/citations?user=Tz0I4ywAAAAJ&hl=en
Dwight Seferos,Dwight,Seferos,University of Toronto,Toronto,Canada,https://scholar.google.ca/citations?user=4kx8OGUAAAAJ&hl=en
Florian Shkurti,Florian,Shkurti,University of Toronto,Toronto,Canada,https://scholar.google.com/citations?user=BDmtLHsAAAAJ&hl=ca
David Sinton,David,Sinton,University of Toronto,Toronto,Canada,https://scholar.google.ca/citations?user=Dgdo64MAAAAJ&hl=en
Helen Tran,Helen,Tran,University of Toronto,Toronto,Canada,https://scholar.google.com/citations?user=_BBtmecAAAAJ&hl=en
Chandra Veer Singh,Chandra Veer,Singh,University of Toronto,Toronto,Canada,https://scholar.google.ca/citations?user=kMxYvn4AAAAJ&hl=en
Tejs Vegge,Tejs,Vegge,Technical University of Denmark,Kongens Lyngby,Denmark,https://scholar.google.com/citations?user=rfnfcp0AAAAJ&hl=da
Oleksandr Voznyy,Oleksandr,Voznyy,University of Toronto Scarborough,Scarborough,Canada,https://scholar.google.com/citations?user=GDNLMAgAAAAJ&hl=en
Bo Wang,Bo,Wang,University Health Network,Toronto,Canada,https://scholar.google.ca/citations?user=37FDILIAAAAJ&hl=en
Jay Werber,Jay,Werber,University of Toronto,Toronto,Canada,https://scholar.google.com/citations?user=N3MKq1EAAAAJ&hl=en
Andrei Yudin,Andrei,Yudin,University of Toronto,Toronto,Canada,https://scholar.google.com/citations?user=lrevUNcAAAAJ&hl=en
Yu Zou,Yu,Zou,University of Toronto,Toronto,Canada,https://scholar.google.ch/citations?user=8QT9fq0AAAAJ&hl=en
